0,0,0,11.31
-0.025906,0.40706,-1.4209,11.017
-0.10608,0.80682,-2.8163,10.11
-0.24891,1.1884,-4.1481,8.4947
-0.47191,1.5285,-5.3356,5.9726
-0.8006,1.7639,-6.157,2.2551
-1.1994,1.7639,-6.157,-2.2551
-1.5281,1.5285,-5.3356,-5.9726
-1.7511,1.1884,-4.1481,-8.4947
-1.8939,0.80682,-2.8163,-10.11
-1.9741,0.40706,-1.4209,-11.017
-2,0,0,-11.31
-1.9741,-0.40706,1.4209,-11.017
-1.8939,-0.80682,2.8163,-10.11
-1.7511,-1.1884,4.1481,-8.4947
-1.5281,-1.5285,5.3356,-5.9726
-1.1994,-1.7639,6.157,-2.2551
-0.8006,-1.7639,6.157,2.2551
-0.47191,-1.5285,5.3356,5.9726
-0.24891,-1.1884,4.1481,8.4947
-0.10608,-0.80682,2.8163,10.11
-0.025906,-0.40706,1.4209,11.017
